iter	RMSE
0	1.020873815
1	1.009910154
2	0.9991240789
3	0.9886209379
4	0.9786824328
5	0.9701062135
6	0.9614480252
7	0.9536257953
8	0.9464398557
9	0.9402280978
10	0.9335093532
11	0.930284636
12	0.9217733515
13	0.9163772287
14	0.9108919544
15	0.9046320065
16	0.9001503205
17	0.8941157634
18	0.8872082284
19	0.8819803531
20	0.8785287948
21	0.8756124003
22	0.8697026645
23	0.86742327
24	0.8615613944
25	0.8558782987
26	0.8514729014
27	0.8473653182
28	0.8440636387
29	0.840564156
30	0.8369540583
31	0.8332597604
32	0.8285355504
33	0.8207490635
34	0.816752533
35	0.8142089716
36	0.8105678607
37	0.8061901568
38	0.8050970685
39	0.8010764241
40	0.7976384943
41	0.7951120349
42	0.7906826571
43	0.7890455173
44	0.7862287028
45	0.7843576731
46	0.781941115
47	0.779131748
48	0.7783085175
49	0.7737585408
50	0.7710158327
51	0.7667709165
52	0.7642860242
53	0.7620796736
54	0.758375504
55	0.7570628916
56	0.753804777
57	0.7509721845
58	0.7462156424
59	0.7442044676
60	0.7439115201
61	0.7416243659
62	0.7390666311
63	0.736666132
64	0.7360164424
65	0.7335193007
66	0.7296772079
67	0.7266775878
68	0.723348135
69	0.7206659649
70	0.7180521831
71	0.7169418632
72	0.7151460245
73	0.7140979663
74	0.7131402184
75	0.7103597284
76	0.7088948501
77	0.7086438537
78	0.7062942023
79	0.7060866808
80	0.7042740162
81	0.7001616103
82	0.6973694092
83	0.6963698336
84	0.6934188544
85	0.6904713076
86	0.6893577266
87	0.6876086774
88	0.68399567
89	0.6826803745
90	0.6791794145
91	0.6777808829
92	0.6756746138
93	0.6752518556
94	0.6740097088
95	0.673508003
96	0.6728204601
97	0.6719278884
98	0.6701040069
99	0.6678865384
100	0.6651970909
101	0.6627652135
102	0.6615172701
103	0.6594525028
104	0.6574323789
105	0.6567662674
106	0.6539879559
107	0.6507076158
108	0.6483481793
109	0.6459713572
110	0.6454139363
111	0.643867547
112	0.6421798911
113	0.640594843
114	0.6405030126
115	0.6386508955
116	0.6364336784
117	0.634765389
118	0.6328399829
119	0.6310630908
120	0.6292667145
121	0.6263825448
122	0.6236915942
123	0.6228695281
124	0.621979016
125	0.6187240864
126	0.6172150947
127	0.6145808372
128	0.6123783678
129	0.6103002791
130	0.6091843524
131	0.6064969343
132	0.6044618402
133	0.6015193967
134	0.6005623674
135	0.5988298432
136	0.5975569796
137	0.5966061343
138	0.5934954349
139	0.591010366
140	0.5891986288
141	0.5885362568
142	0.5862561577
143	0.5849450191
144	0.5825309481
145	0.5807251384
146	0.5801919513
147	0.5783533045
148	0.5768879525
149	0.5745025001
150	0.5728080982
151	0.57007999
152	0.5690357822
153	0.5664153792
154	0.5652286588
155	0.5626706721
156	0.5626616924
157	0.5591988156
158	0.5577513176
159	0.5566010404
160	0.5550370832
161	0.5531558674
162	0.5522080596
163	0.5507412713
164	0.5487051674
165	0.548263796
166	0.5460705392
167	0.5443920272
168	0.5434933579
169	0.5414058454
170	0.5392982324
171	0.5379008597
172	0.5364625418
173	0.5352339807
174	0.5340883387
175	0.5320213109
176	0.5303705074
177	0.5294580018
178	0.5286088802
179	0.5269465779
180	0.5255004179
181	0.5223344339
182	0.5208914307
183	0.5198119211
184	0.5186354745
185	0.5172976269
186	0.516221089
187	0.5154380943
188	0.5139664804
189	0.5114618977
190	0.5098450937
191	0.5073067474
192	0.5056122267
193	0.5045510444
194	0.5038144109
195	0.5022902804
196	0.499920289
197	0.4987703704
198	0.4980118046
199	0.4962528937
200	0.4944835055
201	0.4937049711
202	0.4928083925
203	0.4899082595
204	0.4875598469
205	0.486475272
206	0.4847857101
207	0.4843702542
208	0.4824952751
209	0.4814775534
210	0.4806687076
211	0.4792500516
212	0.4785329253
213	0.4767522982
214	0.4757871796
215	0.4749706714
216	0.4741212094
217	0.4736599658
218	0.4720696859
219	0.4705399115
220	0.4698995383
221	0.4689887164
222	0.4681202238
223	0.4674914089
224	0.4666751162
225	0.4660154813
226	0.4655684925
227	0.4647942944
228	0.4636016423
