iter	Passed	Remaining
0	3	13751
1	6	12817
2	9	12814
3	13	13091
4	16	13132
5	19	13186
6	23	13287
7	26	13283
8	30	13308
9	33	13226
10	36	13160
11	36	12130
12	39	12055
13	41	11720
14	44	11806
15	47	11926
16	50	11889
17	53	11914
18	56	11938
19	58	11587
20	61	11662
21	65	11877
22	69	11949
23	69	11568
24	73	11641
25	76	11679
26	79	11671
27	82	11725
28	85	11736
29	88	11737
30	92	11797
31	95	11807
32	98	11808
33	101	11799
34	104	11833
35	107	11822
36	110	11817
37	113	11832
38	114	11628
39	117	11634
40	120	11682
41	123	11668
42	126	11639
43	129	11644
44	132	11622
45	135	11623
46	138	11618
47	141	11647
48	144	11612
49	147	11647
50	150	11646
51	153	11673
52	157	11719
53	160	11702
54	163	11741
55	167	11773
56	170	11777
57	173	11797
58	176	11810
59	180	11844
60	181	11695
61	184	11735
62	188	11774
63	191	11784
64	193	11705
65	197	11754
66	201	11830
67	205	11855
68	208	11897
69	211	11890
70	215	11934
71	219	11950
72	222	11945
73	225	11945
74	228	11964
75	231	11978
76	235	11976
77	235	11861
78	239	11862
79	239	11729
80	242	11735
81	246	11778
82	249	11773
83	252	11790
84	255	11785
85	258	11781
86	262	11795
87	265	11810
88	268	11799
89	272	11833
90	275	11831
91	278	11833
92	281	11831
93	284	11826
94	287	11823
95	290	11826
96	293	11828
97	297	11828
98	299	11819
99	304	11857
100	306	11848
101	310	11863
102	313	11871
103	316	11874
104	320	11884
105	323	11879
106	326	11887
107	329	11886
108	333	11889
109	335	11870
110	337	11823
111	340	11813
112	343	11823
113	347	11830
114	347	11732
115	350	11729
116	353	11729
117	356	11744
118	360	11757
119	363	11767
120	367	11768
121	370	11765
122	373	11760
123	376	11765
124	379	11763
125	382	11757
126	385	11749
127	388	11755
128	391	11751
129	395	11765
130	398	11769
131	401	11767
132	405	11776
133	407	11765
134	411	11782
135	415	11799
136	418	11801
137	421	11791
138	424	11793
139	427	11789
140	430	11794
141	434	11795
142	436	11777
143	439	11769
144	441	11749
145	444	11746
146	448	11744
147	451	11738
148	453	11728
149	456	11726
150	459	11720
151	463	11740
152	466	11739
153	470	11743
154	473	11743
155	476	11741
156	476	11670
157	480	11678
158	483	11673
159	486	11667
160	489	11678
161	493	11690
162	496	11696
163	499	11691
164	502	11681
165	505	11670
166	508	11670
167	511	11669
168	514	11663
169	517	11660
170	521	11666
171	523	11657
172	526	11645
173	529	11640
174	532	11645
175	535	11641
176	539	11650
177	542	11649
178	545	11641
179	549	11651
180	552	11664
181	556	11670
182	559	11670
183	562	11668
184	565	11654
185	568	11648
186	571	11652
187	574	11648
188	577	11645
189	580	11649
190	584	11657
191	587	11654
192	591	11659
193	593	11650
194	596	11643
195	599	11642
196	602	11630
197	605	11624
198	608	11628
199	612	11629
200	615	11629
201	618	11629
202	621	11630
203	624	11624
204	628	11626
205	630	11617
206	634	11617
207	636	11602
208	639	11593
209	641	11585
210	645	11590
211	648	11591
212	651	11585
213	654	11582
214	658	11585
215	661	11588
216	664	11585
217	667	11575
218	670	11571
219	673	11569
220	676	11569
221	679	11565
222	682	11560
223	685	11558
224	688	11552
225	691	11547
226	694	11546
227	697	11545
228	700	11538
