report_year,report_week,district,disease,category,cases,source_pdf,uid
2010,1,Dharashiv,Acute diarrhoeal disease,water-borne,55,1st_wk10.pdf,
2010,2,Sangli,Acute diarrhoeal disease,water-borne,50,2nd_wk10.pdf,
2010,4,Beed,Dengue,vector-borne,8,4th_wk10.pdf,
2010,6,Ratnagiri,Acute diarrhoeal disease,water-borne,14,6th_wk10.pdf,
2010,7,Dhule,Malaria,vector-borne,24,7th_wk10.pdf,
2010,8,Ratnagiri,Dysentery,water-borne,79,8th_wk10.pdf,
2010,10,Solapur,Cholera,water-borne,176,10th_wk10.pdf,
2010,16,Beed,Acute diarrhoeal disease,water-borne,29,16th_wk10.pdf,
2010,17,Ratnagiri,Acute diarrhoeal disease,water-borne,36,17th_wk10.pdf,
2010,18,Akola,Acute diarrhoeal disease,water-borne,16,18th_wk10.pdf,
2010,20,Nashik,Acute diarrhoeal disease,water-borne,102,20th_wk10.pdf,
2010,23,Akola,Acute diarrhoeal disease,water-borne,15,23rd_wk10.pdf,
2010,26,Jalna,Acute diarrhoeal disease,water-borne,47,26th_wk10.pdf,
2010,38,Dhule,Acute diarrhoeal disease,water-borne,23,38th_wk10.pdf,
2010,43,Dhule,Malaria,vector-borne,24,43rd_wk10.pdf,
2010,48,Ratnagiri,Dengue,vector-borne,24,48th_wk10.pdf,
2011,20,Nashik,Chikungunya,vector-borne,28,20th_wk11.pdf,
2011,23,Nashik,Acute diarrhoeal disease,water-borne,126,23rd_wk11.pdf,
2011,24,Ratnagiri,Acute diarrhoeal disease,water-borne,25,24th_wk11.pdf,
2011,29,Raigad,Cholera,water-borne,67,29th_wk11.pdf,
2011,31,Nashik,Dengue,vector-borne,2,31st_wk11.pdf,
2011,33,Akola,Acute diarrhoeal disease,water-borne,17,33rd_wk11.pdf,
2011,36,Jalna,Dengue,vector-borne,20,36th_wk11.pdf,
2011,36,Nagpur,Fever with rash,air-borne,8,36th_wk15.pdf,
2011,38,Kolhapur,Malaria,vector-borne,14,38th_wk15.pdf,
2011,38,Nagpur,Scrub typhus,vector-borne,4,38th_wk15.pdf,
2011,38,Nashik,Acute diarrhoeal disease,water-borne,31,38th_wk11.pdf,
2011,38,Wardha,Malaria,vector-borne,23,38th_wk15.pdf,
2011,40,Dharashiv,Chikungunya,vector-borne,26,40th_wk11.pdf,
2011,42,Dharashiv,Acute diarrhoeal disease,water-borne,55,42nd_wk11.pdf,
2011,46,Ahilyanagar,Dengue,vector-borne,10,46th_wk11.pdf,
2011,47,Gadchiroli,Malaria,vector-borne,40,47th_wk11.pdf,
2012,11,Beed,Acute diarrhoeal disease,water-borne,54,11th_wk12.pdf,
2012,12,Amravati,Hepatitis E,water-borne,38,12th_wk12.pdf,
2012,18,Yavatmal,Acute diarrhoeal disease,water-borne,11,18th_wk12.pdf,
2012,20,Amravati,Acute diarrhoeal disease,water-borne,38,20th_wk12.pdf,
2012,23,Amravati,Acute diarrhoeal disease,water-borne,26,23rd_wk12.pdf,
2012,23,Jalgaon,Acute diarrhoeal disease,water-borne,43,23rd_wk12.pdf,
2012,24,Raigad,Dengue,vector-borne,29,24th_wk12.pdf,
2012,29,Akola,Cholera,water-borne,47,29th_wk12.pdf,
2012,34,Nandurbar,Cholera,water-borne,18,34th_wk12.pdf,
2012,35,Beed,Chikungunya,vector-borne,13,35th_wk12.pdf,
2012,35,Gondia,Acute diarrhoeal disease,water-borne,172,35th_wk12.pdf,
2012,38,Beed,Dengue,vector-borne,32,38th_wk12.pdf,
2012,40,Chhatrapati Sambhajinagar,Measles,air-borne,17,40th_wk12.pdf,
2012,42,Chhatrapati Sambhajinagar,Dengue,vector-borne,63,42nd_wk12.pdf,
2012,45,Dhule,Dengue,vector-borne,23,45th_wk12.pdf,
2012,49,Dharashiv,Acute diarrhoeal disease,water-borne,65,49th_wk12.pdf,
2012,49,Jalgaon,Acute diarrhoeal disease,water-borne,15,49th_wk12.pdf,
2012,50,Nashik,Dengue,vector-borne,22,50th_wk12.pdf,
2013,2,Raigad,Acute diarrhoeal disease,water-borne,37,2nd_wk13.pdf,
2013,7,Thane,Hepatitis E,water-borne,11,7th_wk13.pdf,
