report_year,report_week,district,disease,category,cases,source_pdf,uid
2010,1,Osmanabad,Acute Diarrhoeal Disease,water-borne,,1st_wk10.pdf,
2010,2,Sangli,Acute Diarrhoeal Disease,water-borne,,2nd_wk10.pdf,
2010,4,Beed,Viral fever (Dengue?),vector-borne,,4th_wk10.pdf,
2010,6,Ratnagiri,Acute Diarrhoeal Disease,water-borne,14.0,6th_wk10.pdf,
2010,7,Dhule,Malaria,vector-borne,24.0,7th_wk10.pdf,
2010,8,Ratnagiri,Dysentery,water-borne,79.0,8th_wk10.pdf,
2010,10,Sholapur,Cholera,water-borne,176.0,10th_wk10.pdf,
2010,16,Beed,Acute Diarrhoeal Disease,water-borne,29.0,16th_wk10.pdf,
2010,17,Ratnagiri,Acute Diarrhoeal Disease,water-borne,36.0,17th_wk10.pdf,
2010,18,Akola,Acute Diarrhoeal Disease,water-borne,,18th_wk10.pdf,
2010,20,Nashik,Acute Diarrhoeal Disease,water-borne,102.0,20th_wk10.pdf,
2010,23,Akola,Acute Diarrhoeal Disease,water-borne,15.0,23rd_wk10.pdf,
2010,26,Jalna,Acute Diarrhoeal Disease,water-borne,,26th_wk10.pdf,
2010,27,,Malaria,vector-borne,,27th_wk10.pdf,
2010,38,Dhule,Acute Diarrhoeal Disease,water-borne,,38th_wk10.pdf,
2010,43,Dhule,Malaria,vector-borne,,43rd_wk10.pdf,
2010,44,,Acute Diarrhoeal Disease,water-borne,76.0,44th_wk10.pdf,
2010,46,,Acute Diarrhoeal Disease,water-borne,35.0,46th_wk10.pdf,
2010,48,Ratnagiri,Viral fever? (Dengue/Chikungu nya?),vector-borne,24.0,48th_wk10.pdf,
2011,16,,Malaria?,vector-borne,,16th_wk11.pdf,
2011,20,Nashik,Chikungunya?,vector-borne,,20th_wk11.pdf,
2011,22,,xiv Acute Diarrhoeal Disease,water-borne,,22nd_wk11.pdf,
2011,23,Nashik,xxviii Acute Diarrhoeal Disease,water-borne,126.0,23rd_wk11.pdf,
2011,24,Ratnagiri,Acute Diarrhoeal Disease,water-borne,,24th_wk11.pdf,
2011,29,Raigad,xxii Cholera,water-borne,67.0,29th_wk11.pdf,
2011,31,Nashik,xxvii Dengue,vector-borne,2.0,31st_wk11.pdf,
2011,33,Akola,xvi Acute Diarrhoeal Disease,water-borne,17.0,33rd_wk11.pdf,
2011,36,Jalna,xxiii Dengue,vector-borne,20.0,36th_wk11.pdf,
2011,36,Nagpur,Fever with rash,air-borne,8.0,36th_wk15.pdf,
2011,38,Kolhapur,Malaria,vector-borne,14.0,38th_wk15.pdf,
2011,38,Nagpur,Scrub Typhus,vector-borne,4.0,38th_wk15.pdf,
2011,38,Nashik,xxii Acute Diarrhoeal Disease,water-borne,31.0,38th_wk11.pdf,
2011,38,Wardha,Malaria,vector-borne,23.0,38th_wk15.pdf,
2011,40,Osmanabad,xiv Chikungunya,vector-borne,26.0,40th_wk11.pdf,
2011,42,Osmanabad,xvii Acute Diarrhoeal Disease,water-borne,,42nd_wk11.pdf,
2011,46,Ahmednagar,xvi Dengue,vector-borne,10.0,46th_wk11.pdf,
2011,47,Gadchiroli,xvii Malaria,vector-borne,40.0,47th_wk11.pdf,
2011,48,,xv Malaria,vector-borne,16.0,48th_wk11.pdf,
2011,49,,xx Chikungunya,vector-borne,24.0,49th_wk11.pdf,
2011,50,,xii Dengue,vector-borne,,50th_wk11.pdf,
2011,50,,xiv Dengue,vector-borne,,50th_wk11.pdf,
2012,11,Beed,xvii Acute Diarrhoeal Disease,water-borne,54.0,11th_wk12.pdf,
2012,12,Amravati,xviii Viral Hepatitis E,water-borne,,12th_wk12.pdf,
2012,13,,xvii Acute Diarrhoeal Disease,water-borne,21.0,13th_wk12.pdf,
2012,18,Yavatmal,xx Acute Diarrhoeal Disease,water-borne,,18th_wk12.pdf,
2012,20,Amravati,xviii Acute Diarrhoeal Disease,water-borne,38.0,20th_wk12.pdf,
2012,23,Amravati,x Acute Diarrhoeal Disease,water-borne,26.0,23rd_wk12.pdf,
2012,23,Jalgaon,xi Acute Diarrhoeal Disease,water-borne,43.0,23rd_wk12.pdf,
2012,24,Raigad,xv Dengue,vector-borne,29.0,24th_wk12.pdf,
2012,29,Akola,xxiv Cholera,water-borne,47.0,29th_wk12.pdf,
2012,32,,xxiii Acute Diarrhoeal Disease,water-borne,69.0,32nd_wk12.pdf,
2012,34,Nandurbar,xxiii Cholera,water-borne,18.0,34th_wk12.pdf,
2012,35,Beed,xvi Chikungunya,vector-borne,13.0,35th_wk12.pdf,
2012,35,Gondia,xx Acute Diarrhoeal Disease,water-borne,172.0,35th_wk12.pdf,
2012,38,Beed,xvi Dengue,vector-borne,32.0,38th_wk12.pdf,
2012,40,Aurangabad,xii Measles,air-borne,17.0,40th_wk12.pdf,
2012,42,Aurangabad,viii Dengue,vector-borne,63.0,42nd_wk12.pdf,
2012,45,Dhule,vii Dengue,vector-borne,23.0,45th_wk12.pdf,
2012,49,Jalgaon,v Acute Diarrhoeal Disease,water-borne,15.0,49th_wk12.pdf,
2012,49,Osmanabad,vi Acute Diarrhoeal Disease,water-borne,65.0,49th_wk12.pdf,
2012,50,Nashik,xii Dengue,vector-borne,22.0,50th_wk12.pdf,
2013,2,Raigad,vi Acute Diarrhoeal Disease,water-borne,,2nd_wk13.pdf,
2013,7,Thane,Viral Hepatitis E,water-borne,11.0,7th_wk13.pdf,
2013,9,Nandurbar,xv Acute diarrhoeal disease,water-borne,,9th week 13.pdf,
2013,10,Kolhapur,?Dengue,vector-borne,,10th_wk13.pdf,
2013,11,Dhule,Acute Diarrhoeal Disease,water-borne,,11th_wk13.pdf,
2013,13,Akola,Measles,air-borne,,13th_wk13.pdf,
2013,14,Beed,xx Dengue?,vector-borne,,14th_wk13.pdf,
2013,15,Gadchiroli,Dengue?,vector-borne,,15th_wk13.pdf,
2013,19,Nanded,xxii Acute Diarrhoeal Disease,water-borne,,19th_wk13.pdf,
2013,21,Jalgaon,Acute Diarrhoeal Disease,water-borne,,21st_wk13.pdf,
2013,24,Dhule,Dengue,vector-borne,,24th_wk13.pdf,
2013,28,,xviii Acute Diarrheal Disease,water-borne,26.0,28th_wk13.pdf,
2013,29,Osmanabad,Chikungunya,vector-borne,,29th_wk13.pdf,
2013,34,Ghadchiroli,xviii Dengue,vector-borne,,34th_wk13.pdf,
2013,35,Jalgaon,xix Dengue,vector-borne,,35th_wk13.pdf,
2013,39,Nashik,Dengue,vector-borne,,39th_wk13.pdf,
2013,40,Nashik,Dengue,vector-borne,14.0,40th_wk13.pdf,
2013,42,Nandurbar,Acute Diarrhoeal Disease,water-borne,,42nd_wk13.pdf,
2013,44,Thane,Measles,air-borne,,44th_wk13.pdf,
2013,46,Nanded,Acute Diarrhoeal Disease,water-borne,,46th_wk13.pdf,
2013,50,Sangli,Cholera,water-borne,99.0,50th_wk13.pdf,
2014,1,Beed,Dengue & Chikungun ya,vector-borne,11.0,1st_wk14.pdf,
2014,2,Bhandara,Chickenpox,air-borne,14.0,2nd_wk14.pdf,
2014,4,Bhandara,Chickenpox,air-borne,10.0,4th_wk14.pdf,
2014,10,Parbhani,Acute Diarrhoeal Disease,water-borne,47.0,10th_wk14.pdf,
2014,11,Raigad,Viral Hepatitis E,water-borne,40.0,11th_wk14.pdf,
2014,16,Dhule,Dengue,vector-borne,,16th_wk14.pdf,
2014,17,Dhule,Dengue,vector-borne,14.0,17th_wk14.pdf,
2014,18,Gadchiroli,Malaria,vector-borne,,18th_wk14.pdf,
2014,19,Satara,Acute Diarrhoeal Disease,water-borne,,19th_wk14.pdf,
2014,20,Ahmednagar,Dengue?,vector-borne,,20th_wk14.pdf,
2014,22,Beed,Dengue,vector-borne,,22nd_wk14.pdf,
2014,23,Jalna,Dengue,vector-borne,28.0,23rd_wk14.pdf,
2014,24,Nagpur,Acute Diarrhoeal Disease,water-borne,14.0,24th_wk14.pdf,
2014,26,Aurangabad,Acute Diarrheal Disease,water-borne,,26th_wk14.pdf,
2014,27,Aurangabad,Acute Diarrheal Disease,water-borne,78.0,27th_wk14.pdf,
2014,28,Dhule,Acute Diarrhoeal Disease,water-borne,14.0,28th_wk14.pdf,
2014,29,Beed,Dengue,vector-borne,34.0,29th_wk14.pdf,
2014,30,Osmanabad,Acute diarrheal disease,water-borne,37.0,30th_wk14.pdf,
2014,31,,Acute Diarrhoeal Disease,water-borne,45.0,31st_wk14.pdf,
2014,32,Osmanabad,Dengue,vector-borne,10.0,32nd_wk14.pdf,
2014,33,Amravati,Dengue?,vector-borne,25.0,33rd_wk14.pdf,
2014,33,Nashik,xix.Dengue,vector-borne,10.0,33rd_wk14.pdf,
2014,34,,xvii.Viral Hepatitis E,water-borne,,34th_wk14.pdf,
2014,34,Jalgaon,xxii.Dengue,vector-borne,,34th_wk14.pdf,
2014,35,,Dengue,vector-borne,,35th_wk14.pdf,
2014,35,Ahmedna gar,Malaria?,vector-borne,14.0,35th_wk14.pdf,
2014,35,Nanded,Dengue,vector-borne,124.0,35th_wk14.pdf,
2014,35,Nandurbar,Acute Diarrhoeal Disease,water-borne,43.0,35th_wk14.pdf,
2014,35,Sangli,Acute Diarrhoeal Disease,water-borne,50.0,35th_wk14.pdf,
2014,36,Akola,Dengue,vector-borne,,36th_wk14.pdf,
2014,36,Nashik,Dengue,vector-borne,,36th_wk14.pdf,
2014,36,Nashik,Malaria?,vector-borne,,36th_wk14.pdf,
